Year,Study,Rs 0.5°C-MAT,Rs annual
2006,S23,1.02,803.6379998
2006,S23,1.16,803.6379998
2006,S23,1.49,803.6379998
2006,S23,1.4,803.6379998
2006,S23,1.35,803.6379998
2006,S23,1.17,803.6379998
2006,S23,1.41,803.6379998
2006,S23,1.61,803.6379998
2006,S23,0.42,803.6379998
2006,S23,1.73,803.6379998
2006,S23,1.96,803.6379998
2006,S23,1.39,803.6379998
2006,S23,1.73,803.6379998
2006,S23,1.77,803.6379998
2006,S23,2.68,803.6379998
2006,S23,2.94,803.6379998
2006,S23,3.23,803.6379998
2006,S23,2.18,803.6379998
2006,S23,3.64,803.6379998
2006,S23,3.04,803.6379998
2006,S23,1.65,803.6379998
2006,S23,1.5,803.6379998
2006,S23,3.02,803.6379998
2006,S23,2.01,803.6379998
2006,S23,1.16,803.6379998
2006,S23,1.17,803.6379998
2006,S23,0.66,803.6379998
2006,S23,0.65,803.6379998
2006,S23,0.66,803.6379998
2006,S23,3.07,803.6379998
2006,S23,1.83,803.6379998
2006,S23,0.33,803.6379998
2006,S23,1.73,803.6379998
2006,S23,1.11,803.6379998
2004,S23,1.04,868.8011045
2004,S23,0.28,868.8011045
2004,S23,0.22,868.8011045
2004,S23,1.39,868.8011045
2004,S23,1.82,868.8011045
2004,S23,1.67,868.8011045
2004,S23,4.54,868.8011045
2004,S23,4.61,868.8011045
2004,S23,3.85,868.8011045
2004,S23,1.56,868.8011045
2004,S23,2.43,868.8011045
2004,S23,4.6,868.8011045
