"","Sample","Site","Warming","Horizon","Experiment.duration","Plot","Timepoint","Timepoint_days","MBC","BG","NAG","OX","Respiration","avg.C","avg.N","log.mbc","log.n","log.resp","log.bg","OX.std","avg.C.std","log.mbc.std","log.n.std","log.resp.std","log.bg.std","meanFunction"
"36","PS38","SWaN","Heated","Mineral",13,2,"July",197,130.5504763,751.5363,557.1645,0.003600396,0.169803503,0.0469901605,0.0022597875,4.87175994354905,-6.09248449666739,-1.77311337516457,6.62211951141967,0.0180956585097562,0.0801382845757164,0.576176778111399,0.0910114618684176,0.0471535981417432,0.707492204616908,0.25334466430399
"37","PS39","PH","Heated","Mineral",28,12,"July",197,130.9620679,731.7152,522.5138,0.00290111,0.143967093,0.044425097,0.002087561,4.87490772325587,-6.17175888010932,-1.93817052635433,6.59539136721529,0.0145810338249567,0.0757637562376448,0.576549061965836,0.0543125767498748,0,0.704636630410512,0.237640509864804
"38","PS40","PH","Control","Mineral",28,3,"July",197,147.4220955,1269.8389,508.1747,0.004809281,0.350629171,0.062712223,0.0030489785,4.99329987014933,-5.79294866249317,-1.04802610687575,7.14664532101274,0.0241715374235109,0.106951113162292,0.590551148797125,0.229677077291319,0.254296841679711,0.763531350507815,0.328196511476962
"39","PS41","PH","Control","Mineral",28,10,"October",293,719.6561087,254.88499,284.62188,0.04873062,0.33065129,0.085005207,0.0038643975,6.57877347110453,-5.55594949525209,-1.10669096346276,5.54081242381065,0.244921019379173,0.14497016814794,0.778063070928813,0.339392282054053,0.237537440147535,0.591967811866045,0.389475298753926
"40","PS42","PH","Heated","Mineral",28,8,"October",293,647.4266558,392.64316,204.1151,0.02976715,0.378465108,0.1092010485,0.0052757675,6.47300551426208,-5.24463111257343,-0.971631395294481,5.97290120957492,0.149610259873828,0.186234407534309,0.76555403080634,0.483512451334003,0.276121315833613,0.638131196127449,0.416527276918257
"41","PS43","PH","Control","Mineral",28,13,"October",293,643.3592456,222.80975,237.89315,0.03164059,0.40558077,0.058037751,0.002806326,6.46670327055439,-5.87587912443509,-0.902435239071716,5.40631826831646,0.159026204808362,0.098979142788256,0.764808672554611,0.191285665545262,0.295889303587929,0.577598761833864,0.347931291853047
"42","PS44","PH","Heated","Organic",28,8,"October",293,3658.997207,2479.5644,9247.17557,0.05807912,2.328508355,0.2417847475,0.0111118215,8.2049444016956,-4.49974573737402,0.845227871580733,7.81583817857032,0.291906757497551,0.412346216634496,0.970388213855253,0.828345947654413,0.795162454813646,0.835026395151882,0.688862664267874
"43","PS45","SWaN","Control","Mineral",13,19,"October",293,372.0410705,405.00012,453.01859,0.01783112,0.262104097,0.0443930005,0.002243311,5.9190042527489,-6.09980237946664,-1.33901353733656,6.00388736340279,0.0896195469516366,0.0757090180025863,0.70003301465878,0.0876237579406094,0.171167427041552,0.641441686408767,0.294265741833989
"44","PS46","PH","Control","Organic",28,5,"October",293,2607.214789,3389.45234,10285.48341,0.19896463,2.400650389,0.0263111895,0.009808272,7.86603779987609,-4.62452916770952,0.875739696057941,8.12842363570121,1,0.0448718108055111,0.930306166262654,0.770579332819309,0.803879085990175,0.868422315267088,0.736343118524123
"45","PS47","SWaN","Heated","Mineral",13,5,"October",293,559.9740879,803.49105,1575.45533,0.04252239,0.450477324,0.0603306355,0.0025190045,6.32789051105149,-5.98389149519008,-0.797447538383732,6.68896604634764,0.21371833777692,0.102889489733341,0.748391466153248,0.141282960842773,0.325882235202114,0.714633936548147,0.374466404376091
"46","PS48","PH","Control","Mineral",28,9,"October",293,675.4820057,663.57851,1541.22205,0.04090014,0.445077389,0.061162172,0.00281474,6.51542651855543,-5.87288538400073,-0.809507104070948,6.49764717382567,0.205564878541477,0.104307614463349,0.770571108384303,0.192671572713568,0.322437053275248,0.694193862841841,0.381624348369964
"47","PS49","SWaN","Heated","Organic",13,8,"October",293,3596.256189,2481.12096,1723.50831,0.07968791,1.404213518,0.2061549495,0.0087782595,8.18764863582361,-4.73547712561034,0.339477372388458,7.8164657370378,0.400512945441609,0.351582200059169,0.968342665886846,0.719217642139981,0.650679434072058,0.835093442072874,0.654238054945423
"48","PS51","PH","Heated","Organic",28,1,"October",293,2121.026993,1448.7073,284.51917,0.05643746,1.297566994,0.143481207,0.006684136,7.65965568102778,-5.00801832135844,0.260490967865617,7.27842692053539,0.283655743234363,0.244696712577376,0.905897618699616,0.593048789118796,0.628114563960801,0.777610597222321,0.572170670802212
"49","PS52","SWaN","Control","Organic",13,14,"October",293,4096.96973,2582.46982,5236.13756,0.06248612,2.180176253,0.217751177,0.0098111855,8.31800288918665,-4.62423216663073,0.779405723532813,7.85650151457507,0.314056422993373,0.371358718579461,0.983759495653938,0.7707168250078,0.776358355169944,0.839370773592572,0.675936765166181
"50","PS53","SWaN","Heated","Mineral",13,13,"October",293,666.7128445,572.18333,2268.65456,0.04130814,0.588705905,0.0823040235,0.0034619145,6.50235943522514,-5.66593351924019,-0.529828532422382,6.34945944702141,0.20761549427152,0.140363497097854,0.769025681257391,0.288476830101391,0.402335748250366,0.678361822759641,0.41436317895636
"51","PS54","SWaN","Control","Mineral",13,20,"October",293,1250.655229,783.36769,519.8925,0.0835289,0.577917593,0.5863634435,0.0127403385,7.13142287616032,-4.36298205933238,-0.548323993138568,6.66360217708276,0.419817833953703,1,0.843424204753124,0.891658638222559,0.397051957055796,0.711924118376959,0.71064612539369
"52","PS55","PH","Control","Mineral",28,3,"October",293,564.1012163,293.2147,211.47226,0.02816945,0.36157968,0.0492026635,0.0025579705,6.33523369692159,-5.96854110833921,-1.01727284673336,5.68090510518136,0.141580189403514,0.0839115467470305,0.749259935294736,0.148389191873604,0.263082446301202,0.606934995684268,0.332193050884059
"53","PS56","SWaN","Heated","Organic",13,2,"October",293,2118.704138,3198.76824,1573.60449,0.07249231,1.269458933,0.145479507,0.006959636,7.65855992511278,-4.96762810485402,0.238590772683075,8.07052108968517,0.364347723512466,0.248104667186675,0.905768025057889,0.611746833191189,0.621858106755405,0.862236138792445,0.602343582416011
"54","PS57","PH","Heated","Mineral",28,6,"October",293,311.06363,376.02414,2487.24064,0.02829961,0.178584359,0.0524704815,0.002352672,5.73999748932264,-6.0522035754686,-1.72269418996261,5.92965334345669,0.142234376029549,0.0894845715258168,0.678862115146857,0.109658909320675,0.0615573727162472,0.633510692360913,0.28588467285001
"55","PS58","PH","Heated","Organic",28,6,"October",293,1876.948923,2604.65664,471.68278,0.07568592,1.181728051,0.171927869,0.0073828365,7.53740282417576,-4.90859736461964,0.166977817216417,7.8650561374386,0.38039886787918,0.293210415666031,0.891438930670625,0.63907422774495,0.601399686750718,0.84028473006511,0.607634476462769
"56","PS59","PH","Control","Organic",28,10,"October",293,4136.384801,1471.0474,366.0903,0.062379,3.225220354,0.027726396,0.01068797,8.32757744885286,-4.53863646907801,1.17100127473527,7.29372994305986,0.313518035843858,0.0472853420644734,0.984891866502304,0.810342067548219,0.888229541134288,0.77924553738377,0.637252065079485
"57","PS60","PH","Heated","Organic",28,12,"October",293,2408.3159,1326.40725,507.17798,0.05002542,0.797835474,0.1441041165,0.0061201075,7.786682985532,-5.09617561725269,-0.22585287572122,7.19022925028889,0.251428708710689,0.245759039205861,0.92092097450727,0.552237693101198,0.489175644962747,0.768187758498682,0.537951636497741
"58","PS61","PH","Control","Organic",28,9,"October",293,3139.611917,7219.98653,1779.10717,0.08602873,2.13414362,0.1793295075,0.0160997655,8.05185447795192,-4.12895057231519,0.758065451458448,8.88460836623416,0.432382026895936,0.305833369197751,0.952282465615183,1,0.77026185703959,0.949211373993651,0.734995182123685
"59","PS62","SWaN","Control","Organic",13,19,"October",293,2410.098429,1388.10845,198.90864,0.03572142,1.279039158,0.1647703675,0.006909048,7.78742286755941,-4.97492342203978,0.246109138234375,7.23569727202021,0.179536533704508,0.281003819945675,0.921008479402354,0.608369575675214,0.624005956668804,0.77304545864722,0.564494970673962
"60","PS64","SWaN","Heated","Organic",13,18,"October",293,3241.197597,2329.56743,2388.21138,0.03964222,1.253661775,0.1685311855,0.0081008455,8.08369816919422,-4.81578684003519,0.226068688924682,7.7534378769637,0.199242548788697,0.287417620194803,0.956048577992592,0.682039466093496,0.618280792466479,0.828359688687842,0.595231449037318
"61","PS65","SWaN","Heated","Mineral",13,8,"October",293,592.7141725,432.58405,536.87149,0.01858925,0.278103279,0.0639202705,0.003416227,6.38471228026765,-5.67921855327302,-1.27976272708897,6.0697766427514,0.0934299226953052,0.109011349886446,0.755111703663496,0.282326723136211,0.188094224068212,0.648481147328579,0.346075845129708
"62","PS66","SWaN","Control","Organic",13,1,"October",293,1972.246474,666.88458,7134.25226,0.07233863,1.358698122,0.1337323925,0.0058008165,7.58692851416779,-5.14975659547569,0.306526978043609,6.50261698746361,0.363575324920816,0.228070821915077,0.897296270281773,0.527433184015547,0.641266151203976,0.694724826440607,0.558727763129633
"63","PS67","PH","Control","Organic",28,13,"October",293,3758.102332,11614.26503,6130.66638,0.06824787,3.086361846,0.0848576625,0.0112325205,8.23166941004439,-4.48894209196042,1.1269930011178,9.35998936554419,0.343015087656535,0.144718541786106,0.973548946195071,0.833347333028613,0.875657238546294,1,0.69504785786877
"64","PS68","PH","Control","Organic",28,3,"October",293,2739.58876,1084.33145,2010.97818,0.05061803,2.346361937,0.012800971,0.0102836415,7.91556310052661,-4.57720085016278,0.852866016677725,6.98871890094545,0.254407177798386,0.0218311205139104,0.936163459826882,0.792489266559433,0.797344523399319,0.746658850561538,0.591482399776578
"65","PS69","SWaN","Control","Mineral",13,1,"October",293,363.2968026,914.12762,1458.28967,0.01624114,0.198721197,0.041765154,0.002019716,5.89522013819751,-6.2047983715127,-1.61585245670444,6.81797018971582,0.0816282773475869,0.0712274178463515,0.697220098043174,0.0390174404556141,0.0920799651547348,0.728416446156872,0.284931607500722
"66","PS70","SWaN","Heated","Mineral",13,2,"October",293,484.9941346,772.3328,331.65582,0.01652248,0.258395037,0.0588035345,0.0029896485,6.18413679725611,-5.81259945701852,-1.35326571391449,6.64941554521591,0.0830422975179056,0.100285130582156,0.731389899447186,0.220580037119422,0.167095859089746,0.710408450857178,0.335466945768932
"67","PS71","PH","Heated","Mineral",28,15,"October",293,643.4998077,1181.59786,613.16227,0.03660139,0.38118789,0.0565564135,0.0027160635,6.46692172820164,-5.90857168958845,-0.964462875807441,7.07462292011194,0.18395927959658,0.0964528299418107,0.764834509259375,0.176151133547639,0.278169221572484,0.755836640814455,0.37590060245539
"68","PS72","SWaN","Control","Organic",13,12,"October",293,3534.074504,1878.58046,4450.69022,0.08777986,2.289533929,0.203710008,0.009871218,8.17020673471741,-4.61813202889511,0.828348272398088,7.5382716961436,0.441183239453163,0.347412531013284,0.966279834692379,0.77354079214885,0.790340283638905,0.805371822738746,0.687354750614221
"69","PS73","PH","Heated","Organic",28,15,"October",293,4700.017805,2670.5439,3924.79474,0.06002608,3.841390455,0.0589424715,0.0131834445,8.45532157598885,-4.32879344110804,1.34583439871435,7.89003743851383,0.301692215345009,0.100522077481797,1,0.907485745518775,0.938175943398901,0.842953675520026,0.681804942877418
"70","PS74","SWaN","Control","Mineral",13,14,"October",293,1240.923662,416.31725,33.31989,0.05993801,0.558455678,0.1061043675,0.0049332855,7.12361127001686,-5.31175008287313,-0.582580022619288,6.03144758980655,0.301249573856419,0.180953244401908,0.842500336148806,0.452440732156169,0.387265679778973,0.644386158387038,0.468132620788219
"71","PS75","SWaN","Heated","Mineral",13,18,"October",293,564.6513941,182.40127,129.4776,0.0245776,0.398879333,0.059896732,0.0033190665,6.33620853912971,-5.70807171028955,-0.919096331390397,5.20620904033529,0.123527483251671,0.102149499024831,0.749375228627977,0.268969587467881,0.291129555548328,0.55621954652003,0.34856181674012
"72","PS76","SWaN","Control","Mineral",13,12,"October",293,469.0651174,557.92513,282.4482,0.02062866,0.253820741,0.068016877,0.0038744175,6.15074160187883,-5.55335995005704,-1.37112700521269,6.32422477775172,0.103680035994337,0.115997812882071,0.727440292672666,0.340591073107305,0.161993237688026,0.675665808022424,0.354228043394472
"73","PS77","SWaN","Heated","Organic",13,5,"October",293,2684.877068,5776.17689,5246.54438,0.0500209,1.555041383,0.17064109,0.0071873275,7.89539022116483,-4.93543587314667,0.441502158138818,8.66149730510373,0.251405991105052,0.291015908122519,0.933777639349154,0.626649743334952,0.679825918868945,0.925374695081199,0.61800831597697
"74","PS78","PH","Heated","Mineral",28,12,"October",293,495.3163515,545.65572,313.88925,0.01951584,0.282757145,0.0516486625,0.002404646,6.20519665237452,-6.03035257960561,-1.26316689463232,6.30198822741444,0.0980869815906475,0.0880830192818799,0.733880621406032,0.119774499654959,0.192835328642278,0.673290105500889,0.317658426012781
"75","PS79","PH","Control","Mineral",28,5,"October",293,817.0292966,778.28463,1118.92141,0.0330181,0.440550471,0.06611206,0.002973569,6.70567495296862,-5.81799236410956,-0.819730263551822,6.65709230560126,0.165949596166917,0.112749286697304,0.793071545854765,0.218083471782725,0.31951649666546,0.711228618496856,0.386766502610671
"76","PS80","SWaN","Heated","Organic",13,13,"October",293,4522.287075,10288.28099,6330.64266,0.05691878,4.769513172,0.068016749,0.012545632,8.41677313490073,-4.37838272179581,1.56224423931438,9.23876075850722,0.286074866673539,0.115997594587426,0.995440925487969,0.884529132852029,1,0.987048211028611,0.711515121771596
